,F1_FD,F2_SCI
ppi_r_40_01,0.542,-0.151
ppi_r_40_02r,0.127,0.619
ppi_r_40_03,0.449,0.103
ppi_r_40_04,0.281,-0.467
ppi_r_40_05,0.214,-0.433
ppi_r_40_06r,0.074,0.335
ppi_r_40_07r,0.069,0.075
ppi_r_40_08,0.142,0.488
ppi_r_40_09,0.512,0.113
ppi_r_40_10,0.335,0.239
ppi_r_40_11,0.518,-0.039
ppi_r_40_12,0.308,-0.3
ppi_r_40_13,0.221,0.429
ppi_r_40_14r,0.319,0.214
ppi_r_40_15,0.271,-0.179
ppi_r_40_16,0.357,-0.357
ppi_r_40_17r,0.196,0.021
ppi_r_40_18r,0.091,0.558
ppi_r_40_19,0.249,-0.12
ppi_r_40_20,0.539,-0.109
ppi_r_40_21,0.228,-0.536
ppi_r_40_22r,0.227,0.276
ppi_r_40_23r,-0.086,-0.052
ppi_r_40_24r,0.216,0.114
ppi_r_40_25r,0.005,-0.219
ppi_r_40_26r,0.19,0.048
ppi_r_40_27r,0.225,0.353
ppi_r_40_28,0.353,0.161
ppi_r_40_29r,0.107,0.652
ppi_r_40_30r,0.096,0.046
ppi_r_40_31,0.314,-0.474
ppi_r_40_32r,0.203,0.058
ppi_r_40_33,0.224,-0.393
ppi_r_40_34,0.513,0.149
ppi_r_40_35,0.306,0.524
ppi_r_40_36r,0.111,-0.108
ppi_r_40_37,0.644,0.166
ppi_r_40_38,0.44,0.168
ppi_r_40_39r,-0.021,-0.054
ppi_r_40_40,0.521,-0.082
