Variable,SMD_before,SMD_after,Balanced
Age,-0.32347465644925605,-0.17109319947054516,False
Gender (Male),0.4290478001421627,0.04550211694370816,True
Extraversion,0.8055336289444506,-0.15198588934319382,False
Agreeableness,0.1548775598465239,-0.3754614162456997,False
Conscientiousness,0.29956804334132353,-0.01749106324396637,True
Emotional Stability,1.357121312224105,-0.1618150975182687,False
Openness,0.8129794882942865,0.25368100739802996,False
Months in Job,-0.03959081905215054,0.04825991544036089,True
FD,2.938733433959633,2.5152473980582286,False
SCI,-0.0974196299446199,0.5909128540190768,False
CO,0.17660671908206152,0.24026243749508094,False
